"","path","filename","trait","sample_size","ncase","ncontrol","nsnp","id","category","sex","newfile"
"925","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_SM.txt.tab","Sphingomyelins",13476,NA,NA,11417530,935,"Metabolites","Males and females","metabolites__sphingomyelins.txt.gz"
"280","/projects/MRC-IEU/publicdata/GWAS_summary_data/T1DBase","hg19_gwas_t1d_barrett_cooper_4_20_0.tab.tab","Type 1 diabetes",13254,5913,7341,804104,290,"Disease","Males and females","disease__type_1_diabetes.txt.gz"
"277","/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase","hg19_gwas_pbc_cordell_4_20_0.tab","Primary biliary cirrhosis",13239,2764,10475,1134142,287,"Disease","Males and females","disease__primary_biliary_cirrhosis.txt.gz"
"835","/projects/MRC-IEU/publicdata/metab_qtl","Summary_statistics_MAGNETIC_Bis.FA.ratio.txt.tab","Ratio of bisallylic groups to total fatty acids",13171,NA,NA,11274684,845,"Metabolites","Males and females","metabolites__ratio_of_bisallylic_groups_to_total_fatty_acids.txt.gz"
"996","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Bolton25010111/","gwama_1_fixed.out.plasma_cortisol.tab","Plasma cortisol",12597,NA,NA,2660192,1012,"Risk factor","Males and females","risk_factor__plasma_cortisol.txt.gz"
"16","/projects/MRC-IEU/publicdata/GWAS_summary_data/SSGAC","CHIC_Summary_Benyamin2014.txt.gz.tab","Childhood intelligence",12441,NA,NA,1380159,16,"Risk factor","Males and females","risk_factor__childhood_intelligence.txt.gz"
"1081","/projects/MRC-IEU/publicdata/GWAS_summary_data/Immunobase","hg19_gwas_ic_nar_faraco_4_18_0.tab.tab","Narcolepsy",12307,1886,10421,102068,1098,"Disease","Males and females","disease__narcolepsy.txt.gz"
"1021","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/","Pubertal_growth_PGF_PGM_combined.txt.gz.tab","Difference in height between childhood and adulthood",10799,NA,NA,2384832,1037,"Risk factor","Males and females","risk_factor__difference_in_height_between_childhood_and_adulthood.txt.gz"
"28","/projects/MRC-IEU/publicdata/GWAS_summary_data/EGG","EGG_HC_DISCOVERY.txt.gz.tab","Infant head circumference",10768,NA,NA,2449807,28,"Risk factor","Males and females","risk_factor__infant_head_circumference.txt.gz"
"759","/projects/MRC-IEU/publicdata/GWAS_summary_data/magic","MAGIC_ln_fastingProinsulin.txt.tab","Fasting proinsulin",10701,NA,NA,2496074,769,"Risk factor","Males and females","risk_factor__fasting_proinsulin.txt.gz"
"77","/projects/MRC-IEU/publicdata/GWAS_summary_data/GIANT_2014_2015/Waist2015","GIANT_EXTREME_WHR_Stage1_Berndt2013_publicrelease_HapMapCeuFreq.txt.tab.all_pos","Extreme waist-to-hip ratio",10255,4774,5481,1939901,87,"Risk factor","Males and females","risk_factor__extreme_waisttohip_ratio.txt.gz"
"999","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/Okada21196492/","GWASsummary_Okada_PMID21196492_20160919.txt.gz.tab","C-reactive protein",10112,NA,NA,2178019,1015,"Risk factor","Males and females","risk_factor__creactive_protein.txt.gz"
"1024","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/EGG_PubertalGrowth_23449627/","Pubertal_growth_PTF_PTM_combined.txt.gz.tab","Difference in height between adolescence and adulthood",9228,NA,NA,2401290,1040,"Risk factor","Males and females","risk_factor__difference_in_height_between_adolescence_and_adulthood.txt.gz"
"982","/projects/MRC-IEU/research/data/evidencehub/summary/gwas/raw/telomere_length_aviv/","ANALYSIS_NEW_QC_2015_SE1.txt.tab","Telomere length",9190,NA,NA,2735694,998,"Risk factor","Males and females","risk_factor__telomere_length.txt.gz"
"441","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27718.metal.pos.txt.gz.tab","Creatine",7822,NA,NA,2545661,451,"Metabolites","Males and females","metabolites__creatine.txt.gz"
"473","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32504.metal.pos.txt.gz.tab","Docosapentaenoate (n3 DPA; 22:5n3)",7821,NA,NA,2545661,483,"Metabolites","Males and females","metabolites__docosapentaenoate_n3_dpa_225n3.txt.gz"
"301","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M00542.metal.pos.txt.gz.tab","3-hydroxybutyrate (BHBA)",7820,NA,NA,2545615,311,"Metabolites","Males and females","metabolites__3hydroxybutyrate_bhba.txt.gz"
"399","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19323.metal.pos.txt.gz.tab","Docosahexaenoate (DHA; 22:6n3)",7818,NA,NA,2545635,409,"Metabolites","Males and females","metabolites__docosahexaenoate_dha_226n3.txt.gz"
"482","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32587.metal.pos.txt.gz.tab","X-02249",7818,NA,NA,2545663,492,"Metabolites","Males and females","metabolites__x02249.txt.gz"
"487","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32635.metal.pos.txt.gz.tab","1-linoleoylglycerophosphoethanolamine*",7817,NA,NA,2545675,497,"Metabolites","Males and females","metabolites__1linoleoylglycerophosphoethanolamine.txt.gz"
"612","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33961.metal.pos.txt.gz.tab","1-stearoylglycerophosphocholine",7817,NA,NA,2545648,622,"Metabolites","Males and females","metabolites__1stearoylglycerophosphocholine.txt.gz"
"309","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01110.metal.pos.txt.gz.tab","Arachidonate (20:4n6)",7816,NA,NA,2545690,319,"Metabolites","Males and females","metabolites__arachidonate_204n6.txt.gz"
"345","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01898.metal.pos.txt.gz.tab","Proline",7816,NA,NA,2545669,355,"Metabolites","Males and females","metabolites__proline.txt.gz"
"365","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15140.metal.pos.txt.gz.tab","Kynurenine",7816,NA,NA,2545666,375,"Metabolites","Males and females","metabolites__kynurenine.txt.gz"
"392","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18467.metal.pos.txt.gz.tab","Eicosapentaenoate (EPA; 20:5n3)",7816,NA,NA,2545634,402,"Metabolites","Males and females","metabolites__eicosapentaenoate_epa_205n3.txt.gz"
"410","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M21044.metal.pos.txt.gz.tab","2-hydroxybutyrate (AHB)",7815,NA,NA,2545615,420,"Metabolites","Males and females","metabolites__2hydroxybutyrate_ahb.txt.gz"
"461","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32348.metal.pos.txt.gz.tab","2-aminobutyrate",7814,NA,NA,2545391,471,"Metabolites","Males and females","metabolites__2aminobutyrate.txt.gz"
"741","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37506.metal.pos.txt.gz.tab","Palmitoyl sphingomyelin",7814,NA,NA,2545552,751,"Metabolites","Males and females","metabolites__palmitoyl_sphingomyelin.txt.gz"
"297","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M00063.metal.pos.txt.gz.tab","Cholesterol",7813,NA,NA,2545608,307,"Metabolites","Males and females","metabolites__cholesterol.txt.gz"
"372","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15650.metal.pos.txt.gz.tab","N1-methyladenosine",7813,NA,NA,2545622,382,"Metabolites","Males and females","metabolites__n1methyladenosine.txt.gz"
"469","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32452.metal.pos.txt.gz.tab","Propionylcarnitine",7813,NA,NA,2545656,479,"Metabolites","Males and females","metabolites__propionylcarnitine.txt.gz"
"316","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01301.metal.pos.txt.gz.tab","Lysine",7812,NA,NA,2545686,326,"Metabolites","Males and females","metabolites__lysine.txt.gz"
"451","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M31787.metal.pos.txt.gz.tab","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)",7812,NA,NA,2545488,461,"Metabolites","Males and females","metabolites__3carboxy4methyl5propyl2furanpropanoate_cmpf.txt.gz"
"495","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32709.metal.pos.txt.gz.tab","X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide",7812,NA,NA,2545675,505,"Metabolites","Males and females","metabolites__x03056n32oxopyrrolidin1ylpropylacetamide.txt.gz"
"549","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33230.metal.pos.txt.gz.tab","1-palmitoleoylglycerophosphocholine*",7812,NA,NA,2545682,559,"Metabolites","Males and females","metabolites__1palmitoleoylglycerophosphocholine.txt.gz"
"563","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33441.metal.pos.txt.gz.tab","Isobutyrylcarnitine",7812,NA,NA,2545669,573,"Metabolites","Males and females","metabolites__isobutyrylcarnitine.txt.gz"
"611","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33960.metal.pos.txt.gz.tab","1-oleoylglycerophosphocholine",7812,NA,NA,2545676,621,"Metabolites","Males and females","metabolites__1oleoylglycerophosphocholine.txt.gz"
"667","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35126.metal.pos.txt.gz.tab","Phenylacetylglutamine",7812,NA,NA,2545653,677,"Metabolites","Males and females","metabolites__phenylacetylglutamine.txt.gz"
"695","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35626.metal.pos.txt.gz.tab","1-myristoylglycerophosphocholine",7812,NA,NA,2545688,705,"Metabolites","Males and females","metabolites__1myristoylglycerophosphocholine.txt.gz"
"324","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01365.metal.pos.txt.gz.tab","Myristate (14:0)",7811,NA,NA,2545661,334,"Metabolites","Males and females","metabolites__myristate_140.txt.gz"
"470","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32489.metal.pos.txt.gz.tab","Caproate (6:0)",7811,NA,NA,2545676,480,"Metabolites","Males and females","metabolites__caproate_60.txt.gz"
"486","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32634.metal.pos.txt.gz.tab","X-11317",7811,NA,NA,2545616,496,"Metabolites","Males and females","metabolites__x11317.txt.gz"
"531","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33132.metal.pos.txt.gz.tab","X-11787",7811,NA,NA,2545629,541,"Metabolites","Males and females","metabolites__x11787.txt.gz"
"476","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32553.metal.pos.txt.gz.tab","Phenol sulfate",7810,NA,NA,2545665,486,"Metabolites","Males and females","metabolites__phenol_sulfate.txt.gz"
"490","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32654.metal.pos.txt.gz.tab","3-dehydrocarnitine*",7809,NA,NA,2545672,500,"Metabolites","Males and females","metabolites__3dehydrocarnitine.txt.gz"
"592","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33821.metal.pos.txt.gz.tab","1-eicosatrienoylglycerophosphocholine*",7809,NA,NA,2545640,602,"Metabolites","Males and females","metabolites__1eicosatrienoylglycerophosphocholine.txt.gz"
"620","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34062.metal.pos.txt.gz.tab","X-12524",7809,NA,NA,2545661,630,"Metabolites","Males and females","metabolites__x12524.txt.gz"
"352","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M03141.metal.pos.txt.gz.tab","Betaine",7806,NA,NA,2545684,362,"Metabolites","Males and females","metabolites__betaine.txt.gz"
"472","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32497.metal.pos.txt.gz.tab","10-undecenoate (11:1n1)",7806,NA,NA,2545687,482,"Metabolites","Males and females","metabolites__10undecenoate_111n1.txt.gz"
"453","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32198.metal.pos.txt.gz.tab","Acetylcarnitine",7805,NA,NA,2545614,463,"Metabolites","Males and females","metabolites__acetylcarnitine.txt.gz"
"500","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32753.metal.pos.txt.gz.tab","X-09789",7805,NA,NA,2545645,510,"Metabolites","Males and females","metabolites__x09789.txt.gz"
"702","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35718.metal.pos.txt.gz.tab","Dihomo-linolenate (20:3n3 or n6)",7805,NA,NA,2545634,712,"Metabolites","Males and females","metabolites__dihomolinolenate_203n3_or_n6.txt.gz"
"294","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M00054.metal.pos.txt.gz.tab","Tryptophan",7804,NA,NA,2545641,304,"Metabolites","Males and females","metabolites__tryptophan.txt.gz"
"363","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12774.metal.pos.txt.gz.tab","X-03094",7804,NA,NA,2545572,373,"Metabolites","Males and females","metabolites__x03094.txt.gz"
"456","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32322.metal.pos.txt.gz.tab","Glutamate",7804,NA,NA,2545537,466,"Metabolites","Males and females","metabolites__glutamate.txt.gz"
"467","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32418.metal.pos.txt.gz.tab","Myristoleate (14:1n5)",7804,NA,NA,2545638,477,"Metabolites","Males and females","metabolites__myristoleate_141n5.txt.gz"
"521","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32855.metal.pos.txt.gz.tab","X-11538",7804,NA,NA,2545672,531,"Metabolites","Males and females","metabolites__x11538.txt.gz"
"737","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M37202.metal.pos.txt.gz.tab","4-androsten-3beta,17beta-diol disulfate 1*",7804,NA,NA,2545651,747,"Metabolites","Males and females","metabolites__4androsten3beta17betadiol_disulfate_1.txt.gz"
"321","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01358.metal.pos.txt.gz.tab","Stearate (18:0)",7803,NA,NA,2545698,331,"Metabolites","Males and females","metabolites__stearate_180.txt.gz"
"356","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M12035.metal.pos.txt.gz.tab","Pelargonate (9:0)",7803,NA,NA,2545686,366,"Metabolites","Males and females","metabolites__pelargonate_90.txt.gz"
"407","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M19934.metal.pos.txt.gz.tab","Myo-inositol",7803,NA,NA,2545559,417,"Metabolites","Males and females","metabolites__myoinositol.txt.gz"
"465","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32405.metal.pos.txt.gz.tab","Indolepropionate",7803,NA,NA,2545646,475,"Metabolites","Males and females","metabolites__indolepropionate.txt.gz"
"609","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33955.metal.pos.txt.gz.tab","1-palmitoylglycerophosphocholine",7803,NA,NA,2545684,619,"Metabolites","Males and females","metabolites__1palmitoylglycerophosphocholine.txt.gz"
"327","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01494.metal.pos.txt.gz.tab","5-oxoproline",7802,NA,NA,2545584,337,"Metabolites","Males and females","metabolites__5oxoproline.txt.gz"
"339","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01644.metal.pos.txt.gz.tab","Heptanoate (7:0)",7802,NA,NA,2545680,349,"Metabolites","Males and females","metabolites__heptanoate_70.txt.gz"
"391","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M18369.metal.pos.txt.gz.tab","Gamma-glutamylleucine",7802,NA,NA,2545647,401,"Metabolites","Males and females","metabolites__gammaglutamylleucine.txt.gz"
"455","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32319.metal.pos.txt.gz.tab","Trans-4-hydroxyproline",7802,NA,NA,2545622,465,"Metabolites","Males and females","metabolites__trans4hydroxyproline.txt.gz"
"458","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32338.metal.pos.txt.gz.tab","Glycine",7802,NA,NA,2545539,468,"Metabolites","Males and females","metabolites__glycine.txt.gz"
"471","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32492.metal.pos.txt.gz.tab","Caprylate (8:0)",7802,NA,NA,2545676,481,"Metabolites","Males and females","metabolites__caprylate_80.txt.gz"
"306","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M00606.metal.pos.txt.gz.tab","Uridine",7800,NA,NA,2545676,316,"Metabolites","Males and females","metabolites__uridine.txt.gz"
"319","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01336.metal.pos.txt.gz.tab","Palmitate (16:0)",7800,NA,NA,2545680,329,"Metabolites","Males and females","metabolites__palmitate_160.txt.gz"
"385","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M17805.metal.pos.txt.gz.tab","Dihomo-linoleate (20:2n6)",7800,NA,NA,2545669,395,"Metabolites","Males and females","metabolites__dihomolinoleate_202n6.txt.gz"
"491","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32672.metal.pos.txt.gz.tab","Pyroglutamine*",7800,NA,NA,2545655,501,"Metabolites","Males and females","metabolites__pyroglutamine.txt.gz"
"474","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32518.metal.pos.txt.gz.tab","X-11204",7799,NA,NA,2545622,484,"Metabolites","Males and females","metabolites__x11204.txt.gz"
"576","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33587.metal.pos.txt.gz.tab","Eicosenoate (20:1n9 or 11)",7799,NA,NA,2545661,586,"Metabolites","Males and females","metabolites__eicosenoate_201n9_or_11.txt.gz"
"593","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33822.metal.pos.txt.gz.tab","1-docosahexaenoylglycerophosphocholine*",7798,NA,NA,2545492,603,"Metabolites","Males and females","metabolites__1docosahexaenoylglycerophosphocholine.txt.gz"
"672","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35186.metal.pos.txt.gz.tab","1-arachidonoylglycerophosphoethanolamine*",7798,NA,NA,2545686,682,"Metabolites","Males and females","metabolites__1arachidonoylglycerophosphoethanolamine.txt.gz"
"369","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15500.metal.pos.txt.gz.tab","Carnitine",7797,NA,NA,2545563,379,"Metabolites","Males and females","metabolites__carnitine.txt.gz"
"624","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34214.metal.pos.txt.gz.tab","1-arachidonoylglycerophosphoinositol*",7797,NA,NA,2545547,634,"Metabolites","Males and females","metabolites__1arachidonoylglycerophosphoinositol.txt.gz"
"700","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35675.metal.pos.txt.gz.tab","2-hydroxypalmitate",7797,NA,NA,2545650,710,"Metabolites","Males and females","metabolites__2hydroxypalmitate.txt.gz"
"311","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01121.metal.pos.txt.gz.tab","Margarate (17:0)",7796,NA,NA,2545661,321,"Metabolites","Males and females","metabolites__margarate_170.txt.gz"
"454","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32315.metal.pos.txt.gz.tab","Serine",7796,NA,NA,2545555,464,"Metabolites","Males and females","metabolites__serine.txt.gz"
"466","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32412.metal.pos.txt.gz.tab","Butyrylcarnitine",7796,NA,NA,2545688,476,"Metabolites","Males and females","metabolites__butyrylcarnitine.txt.gz"
"317","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01302.metal.pos.txt.gz.tab","Methionine",7795,NA,NA,2545691,327,"Metabolites","Males and females","metabolites__methionine.txt.gz"
"343","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01712.metal.pos.txt.gz.tab","Cortisol",7795,NA,NA,2545612,353,"Metabolites","Males and females","metabolites__cortisol.txt.gz"
"452","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32197.metal.pos.txt.gz.tab","3-(4-hydroxyphenyl)lactate",7795,NA,NA,2545643,462,"Metabolites","Males and females","metabolites__34hydroxyphenyllactate.txt.gz"
"615","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33971.metal.pos.txt.gz.tab","10-heptadecenoate (17:1n7)",7795,NA,NA,2545657,625,"Metabolites","Males and females","metabolites__10heptadecenoate_171n7.txt.gz"
"626","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34244.metal.pos.txt.gz.tab","X-12644",7795,NA,NA,2545564,636,"Metabolites","Males and females","metabolites__x12644.txt.gz"
"645","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34419.metal.pos.txt.gz.tab","1-linoleoylglycerophosphocholine",7795,NA,NA,2545647,655,"Metabolites","Males and females","metabolites__1linoleoylglycerophosphocholine.txt.gz"
"304","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M00584.metal.pos.txt.gz.tab","Mannose",7793,NA,NA,2545645,314,"Metabolites","Males and females","metabolites__mannose.txt.gz"
"340","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01645.metal.pos.txt.gz.tab","Laurate (12:0)",7793,NA,NA,2545672,350,"Metabolites","Males and females","metabolites__laurate_120.txt.gz"
"468","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32425.metal.pos.txt.gz.tab","Dehydroisoandrosterone sulfate (DHEA-S)",7793,NA,NA,2545593,478,"Metabolites","Males and females","metabolites__dehydroisoandrosterone_sulfate_dheas.txt.gz"
"325","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01444.metal.pos.txt.gz.tab","Pipecolate",7792,NA,NA,2545476,335,"Metabolites","Males and females","metabolites__pipecolate.txt.gz"
"434","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27278.metal.pos.txt.gz.tab","X-10510",7792,NA,NA,2545516,444,"Metabolites","Males and females","metabolites__x10510.txt.gz"
"686","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35397.metal.pos.txt.gz.tab","X-13619",7791,NA,NA,2545572,696,"Metabolites","Males and females","metabolites__x13619.txt.gz"
"605","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33936.metal.pos.txt.gz.tab","Octanoylcarnitine",7790,NA,NA,2545666,615,"Metabolites","Males and females","metabolites__octanoylcarnitine.txt.gz"
"354","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M11438.metal.pos.txt.gz.tab","Phosphate",7789,NA,NA,2545586,364,"Metabolites","Males and females","metabolites__phosphate.txt.gz"
"368","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15488.metal.pos.txt.gz.tab","Acetylphosphate",7789,NA,NA,2545589,378,"Metabolites","Males and females","metabolites__acetylphosphate.txt.gz"
"616","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33972.metal.pos.txt.gz.tab","10-nonadecenoate (19:1n9)",7789,NA,NA,2545680,626,"Metabolites","Males and females","metabolites__10nonadecenoate_191n9.txt.gz"
"642","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34407.metal.pos.txt.gz.tab","Isovalerylcarnitine",7789,NA,NA,2545606,652,"Metabolites","Males and females","metabolites__isovalerylcarnitine.txt.gz"
"526","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32910.metal.pos.txt.gz.tab","X-11593--O-methylascorbate*",7788,NA,NA,2545561,536,"Metabolites","Males and females","metabolites__x11593omethylascorbate.txt.gz"
"438","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27672.metal.pos.txt.gz.tab","3-indoxyl sulfate",7787,NA,NA,2545634,448,"Metabolites","Males and females","metabolites__3indoxyl_sulfate.txt.gz"
"668","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M35127.metal.pos.txt.gz.tab","Pro-hydroxy-pro",7787,NA,NA,2545647,678,"Metabolites","Males and females","metabolites__prohydroxypro.txt.gz"
"457","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32328.metal.pos.txt.gz.tab","Hexanoylcarnitine",7786,NA,NA,2545658,467,"Metabolites","Males and females","metabolites__hexanoylcarnitine.txt.gz"
"492","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32675.metal.pos.txt.gz.tab","C-glycosyltryptophan*",7786,NA,NA,2545614,502,"Metabolites","Males and females","metabolites__cglycosyltryptophan.txt.gz"
"618","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M34035.metal.pos.txt.gz.tab","Linolenate [alpha or gamma; (18:3n3 or 6)]",7786,NA,NA,2545661,628,"Metabolites","Males and females","metabolites__linolenate_alpha_or_gamma_183n3_or_6.txt.gz"
"450","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M31591.metal.pos.txt.gz.tab","Androsterone sulfate",7785,NA,NA,2545586,460,"Metabolites","Males and females","metabolites__androsterone_sulfate.txt.gz"
"477","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32557.metal.pos.txt.gz.tab","X-06126",7785,NA,NA,2545794,487,"Metabolites","Males and females","metabolites__x06126.txt.gz"
"485","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M32632.metal.pos.txt.gz.tab","X-11315",7785,NA,NA,2545567,495,"Metabolites","Males and females","metabolites__x11315.txt.gz"
"564","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33442.metal.pos.txt.gz.tab","Pseudouridine",7785,NA,NA,2545533,574,"Metabolites","Males and females","metabolites__pseudouridine.txt.gz"
"430","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M25459.metal.pos.txt.gz.tab","X-10395",7784,NA,NA,2545550,440,"Metabolites","Males and females","metabolites__x10395.txt.gz"
"727","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M36776.metal.pos.txt.gz.tab","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",7784,NA,NA,2545638,737,"Metabolites","Males and females","metabolites__7alphahydroxy3oxo4cholestenoate_7hoca.txt.gz"
"320","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01356.metal.pos.txt.gz.tab","Nonadecanoate (19:0)",7783,NA,NA,2545571,330,"Metabolites","Males and females","metabolites__nonadecanoate_190.txt.gz"
"443","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M27738.metal.pos.txt.gz.tab","Threonate",7782,NA,NA,2545583,453,"Metabolites","Males and females","metabolites__threonate.txt.gz"
"303","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M00577.metal.pos.txt.gz.tab","Fructose",7781,NA,NA,2545462,313,"Metabolites","Males and females","metabolites__fructose.txt.gz"
"367","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M15365.metal.pos.txt.gz.tab","Glycerol 3-phosphate (G3P)",7781,NA,NA,2545634,377,"Metabolites","Males and females","metabolites__glycerol_3phosphate_g3p.txt.gz"
"307","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M01105.metal.pos.txt.gz.tab","Linoleate (18:2n6)",7780,NA,NA,2545642,317,"Metabolites","Males and females","metabolites__linoleate_182n6.txt.gz"
"600","/projects/MRC-IEU/publicdata/GWAS_summary_data/metabolome","M33884.metal.pos.txt.gz.tab","X-12442--5,8-tetradecadienoate",7780,NA,NA,2545631,610,"Metabolites","Males and females","metabolites__x1244258tetradecadienoate.txt.gz"
