Name,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,P-value (Current vs. Never),FDR (Current vs. Never),Dose Response
cg20408276,II,2,"38,300,586",R,CYP1B1,1.3E-05,5.0E-06,2.64,0.0082,0.0169,5.21E-05,3.2E-03,1
cg04859826,II,1,"59,479,179",F,,-3.2E-06,1.8E-06,-1.79,0.0741,0.1065,5.21E-05,3.2E-03,0
cg10325659,I,14,"94,423,950",R,ASB2,-6.8E-06,1.2E-06,-5.56,2.7E-08,3.2E-07,5.22E-05,3.2E-03,1
cg15507334,II,10,"14,372,913",R,FRMD4A,1.3E-05,3.5E-06,3.72,2.0E-04,7.3E-04,5.22E-05,3.2E-03,1
cg04687551,II,12,"129,187,286",F,TMEM132C,2.2E-06,1.1E-06,1.90,0.0571,0.0856,5.23E-05,3.2E-03,0
cg10990997,II,6,"39,873,526",F,MOCS1,1.6E-06,1.5E-06,1.03,0.3020,0.3527,5.23E-05,3.2E-03,0
cg25894160,II,20,"24,974,513",F,C20orf3,8.7E-06,2.6E-06,3.30,9.6E-04,0.0028,5.24E-05,3.2E-03,1
cg10835770,II,10,"101,418,499",F,ENTPD7,-2.2E-06,1.7E-06,-1.27,0.2044,0.2532,5.24E-05,3.2E-03,0
cg24180805,II,6,"32,556,093",R,HLA-DRB1,-8.1E-06,2.7E-06,-3.04,0.0024,0.0060,5.25E-05,3.2E-03,1
cg03914735,II,3,"140,953,689",R,ACPL2,6.2E-06,2.4E-06,2.56,0.0105,0.0209,5.25E-05,3.2E-03,1
cg11042320,II,5,"149,534,497",F,PDGFRB,-1.4E-06,1.8E-06,-0.76,0.4498,0.4988,5.25E-05,3.2E-03,0
cg09387382,II,17,"78,418,426",R,,-8.2E-06,2.3E-06,-3.48,5.0E-04,0.0016,5.26E-05,3.2E-03,1
cg02891728,I,7,"151,088,236",R,WDR86,7.0E-06,2.1E-06,3.30,9.7E-04,0.0028,5.26E-05,3.2E-03,1
cg02571874,II,3,"12,799,985",R,TMEM40,3.5E-06,1.4E-06,2.60,0.0093,0.0188,5.27E-05,3.2E-03,1
cg12281620,I,19,"2,525,290",F,GNG7,-5.2E-06,1.8E-06,-2.91,0.0036,0.0085,5.27E-05,3.2E-03,1
cg01023203,II,3,"181,429,233",F,SOX2OT;SOX2,-4.0E-06,1.8E-06,-2.29,0.0222,0.0389,5.27E-05,3.2E-03,1
cg19241305,II,2,"162,137,625",R,,2.5E-06,1.7E-06,1.45,0.1470,0.1909,5.27E-05,3.2E-03,0
cg01784327,II,4,"1,166,755",F,LOC100130872-SPON2;SPON2,5.3E-07,9.8E-07,0.54,0.5885,0.6312,5.28E-05,3.2E-03,0
cg20294304,I,6,"34,203,153",R,HMGA1,-8.8E-06,2.4E-06,-3.71,2.1E-04,7.6E-04,5.28E-05,3.2E-03,1
cg05589489,I,12,"89,748,821",R,,-1.1E-05,4.5E-06,-2.51,0.0120,0.0234,5.29E-05,3.2E-03,1
cg00320288,II,16,"85,863,167",R,,3.6E-06,1.9E-06,1.89,0.0585,0.0873,5.29E-05,3.2E-03,0
cg10894072,II,1,"51,985,215",F,EPS15,-2.7E-06,1.1E-06,-2.55,0.0107,0.0212,5.30E-05,3.2E-03,1
cg10117719,II,1,"36,181,173",R,C1orf216,-6.2E-06,1.4E-06,-4.38,1.2E-05,6.5E-05,5.30E-05,3.2E-03,1
cg18923740,II,1,"19,971,790",R,NBL1,-9.0E-06,3.3E-06,-2.75,0.0059,0.0128,5.31E-05,3.2E-03,1
cg09092525,II,20,"58,570,133",F,CDH26,-2.7E-07,2.7E-06,-0.10,0.9209,0.9317,5.31E-05,3.2E-03,0
cg10089865,II,10,"8,100,286",F,GATA3,-6.9E-06,1.2E-06,-5.77,7.9E-09,1.1E-07,5.31E-05,3.2E-03,1
cg00566899,II,1,"216,058,191",F,USH2A,-4.6E-06,1.6E-06,-2.84,0.0045,0.0102,5.32E-05,3.2E-03,1
cg01396157,II,1,"167,408,509",R,CD247,-1.2E-07,2.5E-06,-0.05,0.9624,0.9671,5.32E-05,3.2E-03,0
cg16039142,II,7,"38,361,199",F,,3.1E-06,1.7E-06,1.80,0.0721,0.1042,5.32E-05,3.2E-03,0
cg13895322,II,12,"6,877,740",R,PTMS,-4.4E-06,1.6E-06,-2.78,0.0055,0.0121,5.32E-05,3.2E-03,1
cg05206276,II,19,"18,389,488",F,,-4.3E-06,1.5E-06,-2.84,0.0045,0.0102,5.32E-05,3.2E-03,1
cg10257521,II,11,"1,903,828",R,LSP1,1.8E-07,1.1E-06,0.17,0.8675,0.8850,5.33E-05,3.2E-03,0
cg23367119,II,14,"74,230,413",R,C14orf43,-6.2E-06,1.3E-06,-4.89,1.0E-06,7.9E-06,5.33E-05,3.2E-03,1
cg08962798,II,5,"179,106,333",F,CBY3,-4.9E-06,2.1E-06,-2.31,0.0207,0.0366,5.33E-05,3.2E-03,1
cg07007550,II,1,"16,011,710",F,PLEKHM2,-1.9E-06,1.2E-06,-1.68,0.0926,0.1289,5.33E-05,3.2E-03,0
cg23243617,II,3,"9,811,806",R,CAMK1,-6.7E-07,1.8E-06,-0.37,0.7082,0.7420,5.34E-05,3.2E-03,0
cg11660418,II,2,"106,761,805",F,UXS1,-3.2E-06,1.9E-06,-1.66,0.0963,0.1333,5.34E-05,3.2E-03,0
cg00375250,II,9,"127,539,738",F,OLFML2A,3.0E-06,1.1E-06,2.77,0.0056,0.0122,5.35E-05,3.2E-03,1
cg00702126,II,1,"1,369,793",R,VWA1,2.3E-06,1.1E-06,2.10,0.0359,0.0582,5.35E-05,3.2E-03,0
cg00517855,II,8,"146,016,408",R,RPL8,-7.1E-06,1.4E-06,-5.00,5.7E-07,4.8E-06,5.36E-05,3.2E-03,1
cg18441959,II,22,"22,599,332",F,VPREB1,4.5E-06,2.1E-06,2.18,0.0296,0.0494,5.37E-05,3.2E-03,1
cg24906410,I,19,"44,249,756",R,C19orf61,-1.2E-05,1.9E-06,-5.98,2.2E-09,3.4E-08,5.37E-05,3.2E-03,1
cg22012981,II,3,"58,522,689",R,ACOX2,-2.4E-06,1.6E-06,-1.49,0.1357,0.1784,5.37E-05,3.2E-03,0
cg14479136,II,9,"139,222,701",R,GPSM1;LOC26102,1.5E-06,1.2E-06,1.31,0.1902,0.2379,5.37E-05,3.2E-03,0
cg24358781,II,1,"178,067,721",F,RASAL2,-1.4E-05,2.5E-06,-5.70,1.2E-08,1.6E-07,5.38E-05,3.2E-03,1
cg22434594,II,17,"47,072,339",R,,-1.2E-06,2.4E-06,-0.51,0.6101,0.6516,5.38E-05,3.2E-03,0
cg05570654,II,2,"240,259,075",R,HDAC4,1.3E-06,1.4E-06,0.89,0.3712,0.4214,5.38E-05,3.2E-03,0
cg08420923,II,16,"89,436,447",F,ANKRD11,3.9E-06,1.4E-06,2.87,0.0041,0.0094,5.38E-05,3.2E-03,1
cg20863321,II,2,"242,250,819",F,HDLBP,-6.0E-06,2.2E-06,-2.68,0.0074,0.0156,5.39E-05,3.2E-03,1
cg07805500,II,6,"151,380,818",R,MTHFD1L,2.8E-06,1.9E-06,1.47,0.1426,0.1860,5.39E-05,3.2E-03,0
cg00480331,II,3,"187,455,371",F,BCL6,1.2E-06,1.1E-06,1.15,0.2501,0.3002,5.39E-05,3.2E-03,0
cg14702960,II,12,"68,634,040",R,,-4.8E-06,1.3E-06,-3.62,2.9E-04,0.0010,5.41E-05,3.2E-03,1
cg26680760,II,16,"3,155,880",R,,3.1E-06,1.4E-06,2.21,0.0268,0.0454,5.41E-05,3.2E-03,1
cg06088032,I,3,"50,383,227",F,ZMYND10,-1.8E-06,8.9E-07,-1.98,0.0474,0.0735,5.41E-05,3.2E-03,0
cg06846495,II,2,"232,326,668",R,NCL,-6.7E-06,2.1E-06,-3.21,0.0014,0.0037,5.41E-05,3.3E-03,1
cg24990317,I,12,"124,908,617",F,NCOR2,-2.4E-06,2.0E-06,-1.18,0.2394,0.2894,5.41E-05,3.3E-03,0
cg26543539,II,1,"156,907,349",F,ARHGEF11;MIR765,-7.1E-06,1.5E-06,-4.70,2.6E-06,1.8E-05,5.41E-05,3.3E-03,1
cg26211349,II,17,"77,404,555",F,HRNBP3,5.1E-06,2.0E-06,2.54,0.0111,0.0218,5.41E-05,3.3E-03,1
cg18593727,II,3,"121,380,792",F,HCLS1,3.3E-06,1.2E-06,2.83,0.0047,0.0106,5.42E-05,3.3E-03,1
cg16361890,II,5,"179,220,545",F,LTC4S,-1.3E-06,1.4E-06,-0.90,0.3704,0.4206,5.42E-05,3.3E-03,0
cg13605674,II,3,"196,065,328",F,TM4SF19,2.8E-06,1.7E-06,1.61,0.1074,0.1462,5.43E-05,3.3E-03,0
cg18437480,II,17,"76,130,305",F,TMC8,1.6E-06,1.3E-06,1.30,0.1934,0.2412,5.43E-05,3.3E-03,0
cg10312186,II,6,"170,403,583",F,,-2.0E-05,3.9E-06,-5.24,1.6E-07,1.6E-06,5.43E-05,3.3E-03,1
cg01517033,II,20,"44,421,751",R,WFDC3;DNTTIP1,-4.8E-06,1.4E-06,-3.34,8.3E-04,0.0025,5.43E-05,3.3E-03,1
cg03548857,II,19,"35,940,174",R,FFAR2,4.1E-06,1.4E-06,2.94,0.0033,0.0079,5.43E-05,3.3E-03,1
cg20242066,II,2,"136,595,261",R,LCT,1.1E-05,3.5E-06,3.29,0.0010,0.0029,5.43E-05,3.3E-03,1
cg25687179,I,19,"39,440,924",R,FBXO17,-6.2E-06,3.2E-06,-1.95,0.0514,0.0784,5.44E-05,3.3E-03,0
cg12514933,II,20,"56,286,732",F,PMEPA1,2.0E-07,1.3E-06,0.15,0.8798,0.8960,5.44E-05,3.3E-03,0
cg23060465,I,8,"141,625,545",F,EIF2C2,1.0E-07,9.1E-07,0.11,0.9128,0.9245,5.44E-05,3.3E-03,0
cg13874290,II,2,"70,017,056",F,ANXA4,8.4E-06,3.3E-06,2.53,0.0116,0.0227,5.45E-05,3.3E-03,1
cg26979537,I,19,"48,016,860",R,NAPA,-9.3E-07,1.2E-06,-0.79,0.4287,0.4781,5.45E-05,3.3E-03,0
cg24702826,II,6,"86,171,768",F,NT5E,1.3E-06,1.7E-06,0.79,0.4320,0.4813,5.45E-05,3.3E-03,0
cg06128881,II,X,"46,616,842",R,SLC9A7,-4.6E-06,2.1E-06,-2.24,0.0251,0.0429,5.45E-05,3.3E-03,1
cg27442412,II,1,"115,632,570",R,TSPAN2,1.0E-06,8.5E-07,1.21,0.2245,0.2740,5.45E-05,3.3E-03,0
cg16061228,I,11,"118,014,547",F,SCN4B,3.1E-06,1.5E-06,2.13,0.0333,0.0546,5.45E-05,3.3E-03,0
cg21123203,II,4,"15,471,301",R,CC2D2A,2.5E-06,1.0E-06,2.37,0.0175,0.0320,5.46E-05,3.3E-03,1
cg08568554,II,13,"103,456,253",R,BIVM,1.0E-05,1.7E-06,6.26,3.8E-10,7.2E-09,5.46E-05,3.3E-03,1
cg18773591,II,2,"51,001,003",R,NRXN1,-5.4E-06,1.9E-06,-2.84,0.0046,0.0104,5.46E-05,3.3E-03,1
cg15903280,II,1,"793,962",R,,5.1E-06,2.7E-06,1.91,0.0565,0.0849,5.47E-05,3.3E-03,0
cg12508624,II,11,"119,293,780",F,THY1,4.1E-06,1.2E-06,3.36,7.9E-04,0.0023,5.48E-05,3.3E-03,1
cg13244241,I,10,"102,491,731",R,,-1.0E-06,1.1E-06,-0.98,0.3274,0.3783,5.48E-05,3.3E-03,0
cg27418217,II,15,"83,518,427",R,HOMER2,1.7E-06,1.2E-06,1.48,0.1378,0.1805,5.48E-05,3.3E-03,0
cg26942930,II,7,"147,804,524",R,CNTNAP2,8.5E-07,1.1E-06,0.78,0.4374,0.4870,5.49E-05,3.3E-03,0
cg01030476,II,1,"236,686,564",R,LGALS8,-2.0E-05,4.2E-06,-4.75,2.0E-06,1.4E-05,5.49E-05,3.3E-03,1
cg06828143,II,5,"10,490,335",R,,2.0E-06,2.1E-06,0.94,0.3473,0.3979,5.49E-05,3.3E-03,0
cg23606775,II,1,"9,790,616",R,CLSTN1,5.9E-06,1.6E-06,3.64,2.7E-04,9.5E-04,5.49E-05,3.3E-03,1
cg21881184,I,19,"1,993,022",F,BTBD2,4.2E-06,1.4E-06,3.02,0.0025,0.0063,5.49E-05,3.3E-03,1
cg04990372,I,20,"47,895,899",R,SNORD12B;C20orf199;MIR1259;SNORD12;ZNFX1,-7.2E-06,2.6E-06,-2.77,0.0056,0.0124,5.50E-05,3.3E-03,1
cg03437540,II,22,"45,097,327",F,PRR5;PRR5-ARHGAP8,4.8E-06,1.6E-06,2.90,0.0038,0.0088,5.50E-05,3.3E-03,1
cg16330893,II,8,"118,662,804",R,,-7.7E-07,2.2E-06,-0.35,0.7266,0.7588,5.50E-05,3.3E-03,0
cg20288892,II,7,"82,072,332",R,CACNA2D1,-3.0E-06,1.0E-06,-2.87,0.0041,0.0095,5.51E-05,3.3E-03,1
cg22353329,I,17,"77,814,357",R,CBX4,7.7E-06,1.7E-06,4.53,5.9E-06,3.6E-05,5.51E-05,3.3E-03,1
cg16789230,II,3,"197,806,891",R,LOC348840,-8.3E-06,4.6E-06,-1.79,0.0728,0.1050,5.51E-05,3.3E-03,0
cg04064588,II,8,"144,945,619",F,EPPK1,-4.2E-06,1.6E-06,-2.64,0.0083,0.0171,5.51E-05,3.3E-03,1
cg02564061,II,12,"49,998,963",F,FAM186B,4.3E-06,1.8E-06,2.32,0.0204,0.0362,5.51E-05,3.3E-03,1
cg17733447,I,17,"45,929,399",F,SP6,-1.2E-05,3.1E-06,-3.95,7.9E-05,3.4E-04,5.52E-05,3.3E-03,1
cg05205351,II,20,"2,634,775",F,NOP56;SNORD110;SNORA51,-1.4E-05,2.1E-06,-6.63,3.2E-11,7.5E-10,5.52E-05,3.3E-03,1
cg13705556,I,19,"4,058,760",R,ZBTB7A,1.1E-06,1.3E-06,0.88,0.3811,0.4313,5.52E-05,3.3E-03,0
cg13986840,II,7,"130,132,453",R,MEST;MESTIT1,-1.1E-05,3.4E-06,-3.19,0.0014,0.0039,5.53E-05,3.3E-03,1
cg22698115,II,11,"1,771,907",F,HCCA2,-5.9E-06,1.8E-06,-3.34,8.5E-04,0.0025,5.53E-05,3.3E-03,1
cg03763518,II,1,"150,245,044",R,C1orf54,-1.6E-05,3.2E-06,-4.90,9.8E-07,7.6E-06,5.53E-05,3.3E-03,1
cg18443253,I,14,"38,678,420",R,SSTR1,6.5E-06,1.9E-06,3.48,5.0E-04,0.0016,5.54E-05,3.3E-03,1
cg11860203,II,17,"32,582,516",R,CCL2,4.5E-06,1.5E-06,3.07,0.0022,0.0055,5.54E-05,3.3E-03,1
cg18000306,II,6,"288,505",F,,-3.8E-06,2.0E-06,-1.95,0.0517,0.0788,5.55E-05,3.3E-03,0
cg04873053,II,1,"53,935,918",F,,-5.9E-06,2.8E-06,-2.11,0.0351,0.0571,5.55E-05,3.3E-03,0
cg05789714,II,11,"74,178,462",R,KCNE3,1.7E-06,1.1E-06,1.49,0.1365,0.1792,5.55E-05,3.3E-03,0
cg27026202,II,2,"235,200,560",F,,-8.2E-06,3.5E-06,-2.35,0.0186,0.0336,5.56E-05,3.3E-03,1
cg11256214,II,12,"110,211,642",F,MGC14436,2.8E-06,1.4E-06,1.97,0.0483,0.0746,5.56E-05,3.3E-03,0
cg05989054,II,19,"1,402,626",F,GAMT,1.2E-06,1.2E-06,0.98,0.3271,0.3780,5.56E-05,3.3E-03,0
cg02843201,II,16,"22,103,596",F,VWA3A,3.2E-06,1.6E-06,1.98,0.0475,0.0736,5.56E-05,3.3E-03,0
cg19995891,I,2,"191,042,691",F,C2orf88,1.2E-05,3.0E-06,4.20,2.6E-05,1.3E-04,5.56E-05,3.3E-03,1
cg15727507,II,17,"80,981,575",R,B3GNTL1,4.0E-06,2.1E-06,1.96,0.0506,0.0775,5.56E-05,3.3E-03,0
cg11298343,II,19,"41,306,150",R,EGLN2,-6.3E-06,1.8E-06,-3.44,5.8E-04,0.0018,5.56E-05,3.3E-03,1
cg04625615,II,15,"41,788,368",R,ITPKA,-1.4E-05,2.7E-06,-5.26,1.4E-07,1.4E-06,5.56E-05,3.3E-03,1
cg25082487,I,10,"74,091,975",R,,1.4E-06,8.1E-07,1.72,0.0847,0.1194,5.56E-05,3.3E-03,0
cg05043716,II,8,"25,166,343",R,DOCK5,-2.5E-06,1.0E-06,-2.43,0.0151,0.0281,5.57E-05,3.3E-03,1
cg05168580,II,14,"103,572,194",F,C14orf73,5.4E-06,2.2E-06,2.49,0.0126,0.0244,5.57E-05,3.3E-03,1
cg07850982,I,20,"2,188,511",F,,-4.8E-06,1.9E-06,-2.53,0.0113,0.0223,5.57E-05,3.3E-03,1
cg07411111,I,20,"62,509,309",R,TPD52L2,8.2E-06,2.4E-06,3.36,7.9E-04,0.0024,5.58E-05,3.3E-03,1
cg09553840,II,8,"131,217,021",F,ASAP1,4.6E-06,1.9E-06,2.39,0.0171,0.0313,5.58E-05,3.3E-03,1
cg02010963,I,16,"4,663,820",F,FAM100A,-1.0E-05,2.4E-06,-4.30,1.7E-05,9.1E-05,5.59E-05,3.3E-03,1
cg26108329,II,1,"26,797,585",F,DHDDS;HMGN2,3.4E-06,1.4E-06,2.48,0.0131,0.0251,5.59E-05,3.3E-03,1
cg11138362,I,1,"3,239,992",R,PRDM16,7.9E-06,2.1E-06,3.74,1.8E-04,6.8E-04,5.59E-05,3.3E-03,1
cg13711966,II,2,"42,071,660",R,,6.5E-06,2.4E-06,2.74,0.0062,0.0134,5.59E-05,3.3E-03,1
cg11435167,II,19,"1,588,449",F,MBD3,2.7E-06,1.3E-06,2.14,0.0324,0.0534,5.60E-05,3.3E-03,0
cg04731926,I,19,"35,758,185",R,LSR,-1.6E-05,3.5E-06,-4.54,5.8E-06,3.5E-05,5.60E-05,3.3E-03,1
cg27449489,II,17,"80,316,860",F,TEX19,4.7E-06,2.2E-06,2.09,0.0365,0.0589,5.62E-05,3.3E-03,0
cg07986199,I,12,"2,743,038",R,CACNA1C,-5.2E-06,2.5E-06,-2.13,0.0333,0.0545,5.62E-05,3.3E-03,0
cg26904702,II,1,"153,746,899",R,SLC27A3,3.0E-06,1.6E-06,1.84,0.0658,0.0964,5.62E-05,3.3E-03,0
cg05506147,II,5,"95,950,118",R,,-7.4E-06,3.0E-06,-2.48,0.0130,0.0250,5.62E-05,3.3E-03,1
cg12800105,II,12,"121,972,412",F,KDM2B,-5.7E-06,1.9E-06,-2.98,0.0029,0.0070,5.62E-05,3.3E-03,1
cg13034825,I,3,"150,497,588",F,,5.7E-07,4.9E-07,1.18,0.2378,0.2878,5.62E-05,3.3E-03,0
cg23845310,II,20,"45,138,738",F,ZNF334,1.5E-06,1.3E-06,1.22,0.2241,0.2736,5.62E-05,3.3E-03,0
cg19464087,II,3,"9,442,171",R,SETD5,-5.9E-06,2.5E-06,-2.35,0.0186,0.0336,5.63E-05,3.3E-03,1
cg26815396,II,6,"34,495,393",R,PACSIN1,-9.7E-06,2.3E-06,-4.23,2.4E-05,1.2E-04,5.63E-05,3.3E-03,1
cg14733637,I,5,"1,342,200",F,CLPTM1L,-5.4E-06,2.2E-06,-2.47,0.0136,0.0258,5.63E-05,3.3E-03,1
cg05057720,I,14,"38,724,675",R,CLEC14A,1.0E-05,2.4E-06,4.24,2.2E-05,1.1E-04,5.63E-05,3.3E-03,1
cg25819602,II,7,"96,627,634",F,DLX6AS,1.1E-06,6.8E-07,1.65,0.0985,0.1359,5.63E-05,3.3E-03,0
cg27232360,II,11,"45,628,269",F,,5.3E-06,1.9E-06,2.81,0.0049,0.0110,5.63E-05,3.3E-03,1
cg08301612,II,17,"43,228,571",F,HEXIM1,-6.7E-06,2.1E-06,-3.22,0.0013,0.0035,5.63E-05,3.3E-03,1
cg27200006,II,22,"25,003,854",R,GGT1,-1.0E-05,2.4E-06,-4.26,2.0E-05,1.1E-04,5.64E-05,3.4E-03,1
cg18447299,II,5,"140,894,884",R,DIAPH1,4.0E-06,2.4E-06,1.64,0.1017,0.1395,5.64E-05,3.4E-03,0
cg18249535,II,19,"46,624,887",F,IGFL3,5.2E-06,1.8E-06,2.88,0.0040,0.0092,5.64E-05,3.4E-03,1
cg00183186,II,6,"78,174,065",R,HTR1B,4.7E-06,1.5E-06,3.16,0.0016,0.0043,5.64E-05,3.4E-03,1
cg07128021,II,10,"80,824,237",R,LOC283050,-2.7E-06,1.5E-06,-1.87,0.0616,0.0911,5.65E-05,3.4E-03,0
cg22703659,I,5,"92,956,679",R,FAM172A;MIR2277,-2.0E-06,6.7E-07,-3.06,0.0022,0.0057,5.66E-05,3.4E-03,1
cg03180426,II,9,"139,964,156",R,C9orf140,-7.8E-06,1.7E-06,-4.63,3.7E-06,2.4E-05,5.66E-05,3.4E-03,1
cg21408581,II,1,"220,393,319",R,RAB3GAP2,-5.6E-06,1.9E-06,-2.99,0.0028,0.0069,5.66E-05,3.4E-03,1
cg11338745,II,3,"52,716,501",R,PBRM1,-2.2E-06,2.3E-06,-0.96,0.3366,0.3875,5.67E-05,3.4E-03,0
cg06000951,I,6,"39,902,288",F,MOCS1,3.0E-06,1.2E-06,2.48,0.0131,0.0252,5.69E-05,3.4E-03,1
cg02318971,II,11,"64,739,714",R,,4.3E-06,1.8E-06,2.37,0.0178,0.0323,5.69E-05,3.4E-03,1
cg19367951,II,7,"75,072,658",F,POM121C,-8.7E-06,2.0E-06,-4.37,1.3E-05,7.0E-05,5.69E-05,3.4E-03,1
cg12404181,II,10,"5,688,515",F,ASB13,-1.1E-05,4.9E-06,-2.24,0.0252,0.0431,5.70E-05,3.4E-03,1
cg12600843,II,6,"30,179,881",R,TRIM26,-8.1E-06,2.0E-06,-4.16,3.2E-05,1.5E-04,5.70E-05,3.4E-03,1
cg23840027,II,1,"29,225,533",R,EPB41,6.4E-06,1.8E-06,3.54,4.0E-04,0.0013,5.70E-05,3.4E-03,1
cg21608192,II,16,"17,563,827",F,XYLT1,-1.6E-06,5.6E-07,-2.81,0.0049,0.0110,5.71E-05,3.4E-03,1
cg01555705,II,16,"57,418,351",R,CX3CL1,2.6E-06,1.0E-06,2.48,0.0130,0.0250,5.71E-05,3.4E-03,1
cg23689428,I,2,"121,223,964",R,LOC84931,-1.0E-05,3.7E-06,-2.69,0.0072,0.0151,5.71E-05,3.4E-03,1
cg23606718,I,2,"131,513,927",F,FAM123C,6.4E-07,1.6E-06,0.40,0.6889,0.7243,5.72E-05,3.4E-03,0
cg05985317,II,6,"32,118,208",R,PRRT1,-1.3E-05,2.9E-06,-4.57,5.0E-06,3.1E-05,5.72E-05,3.4E-03,1
cg00929860,I,10,"73,846,448",R,SPOCK2,-4.2E-06,1.4E-06,-2.95,0.0032,0.0076,5.72E-05,3.4E-03,1
cg04920385,II,10,"81,171,149",R,ZCCHC24,-4.6E-06,1.3E-06,-3.42,6.3E-04,0.0019,5.72E-05,3.4E-03,1
cg20852250,II,3,"72,149,422",R,,1.9E-06,1.3E-06,1.48,0.1376,0.1804,5.72E-05,3.4E-03,0
cg26394916,II,3,"4,909,489",R,,-3.7E-06,1.4E-06,-2.70,0.0070,0.0149,5.72E-05,3.4E-03,1
cg04678936,II,15,"43,802,612",R,TP53BP1,-7.3E-06,1.8E-06,-4.05,5.1E-05,2.3E-04,5.73E-05,3.4E-03,1
cg15952045,I,3,"37,848,209",F,ITGA9,4.6E-06,1.3E-06,3.65,2.7E-04,9.4E-04,5.73E-05,3.4E-03,1
cg23683674,II,11,"73,020,562",F,ARHGEF17,2.0E-06,8.3E-07,2.38,0.0171,0.0314,5.73E-05,3.4E-03,1
cg25075684,II,7,"2,933,297",R,,4.5E-06,1.9E-06,2.41,0.0158,0.0292,5.73E-05,3.4E-03,1
cg13127825,I,6,"31,867,919",R,ZBTB12,2.0E-06,1.3E-06,1.55,0.1203,0.1611,5.74E-05,3.4E-03,0
cg06881421,II,2,"67,461,943",R,,-7.4E-06,1.6E-06,-4.70,2.7E-06,1.8E-05,5.74E-05,3.4E-03,1
cg18747197,II,6,"158,110,124",R,,5.2E-06,1.8E-06,2.90,0.0038,0.0088,5.74E-05,3.4E-03,1
cg25179853,II,11,"68,924,577",R,,-9.3E-06,2.3E-06,-4.06,4.9E-05,2.2E-04,5.74E-05,3.4E-03,1
cg00718129,II,X,"10,084,289",F,WWC3,-9.3E-06,2.2E-06,-4.26,2.0E-05,1.1E-04,5.75E-05,3.4E-03,1
cg09715059,II,6,"32,223,336",R,,-7.9E-06,2.9E-06,-2.70,0.0069,0.0146,5.75E-05,3.4E-03,1
cg24170090,II,17,"16,945,301",F,MPRIP,-1.7E-06,8.0E-07,-2.19,0.0289,0.0484,5.75E-05,3.4E-03,1
cg00969087,II,1,"116,710,331",F,,-1.1E-05,2.1E-06,-5.34,9.3E-08,9.5E-07,5.75E-05,3.4E-03,1
cg24119674,II,10,"79,648,146",F,DLG5,-3.9E-06,1.4E-06,-2.79,0.0052,0.0116,5.75E-05,3.4E-03,1
cg17869315,II,12,"54,686,506",F,NFE2,-7.1E-06,1.7E-06,-4.10,4.1E-05,1.9E-04,5.75E-05,3.4E-03,1
cg07877900,I,16,"57,576,862",F,GPR114,5.6E-07,1.5E-06,0.36,0.7164,0.7495,5.75E-05,3.4E-03,0
cg21347444,II,2,"107,107,664",F,,-2.8E-06,1.2E-06,-2.35,0.0187,0.0338,5.76E-05,3.4E-03,1
cg02975505,II,1,"36,625,168",F,MAP7D1,-3.6E-06,1.1E-06,-3.31,9.2E-04,0.0027,5.76E-05,3.4E-03,1
cg14288235,II,9,"135,036,556",R,NTNG2,1.6E-06,7.1E-07,2.21,0.0269,0.0455,5.77E-05,3.4E-03,1
cg25963412,II,4,"8,412,369",R,ACOX3,6.9E-07,2.6E-06,0.27,0.7877,0.8141,5.77E-05,3.4E-03,0
cg05572179,II,11,"67,139,907",R,LOC100130987;CLCF1,1.4E-06,5.2E-07,2.77,0.0057,0.0124,5.77E-05,3.4E-03,1
cg00986824,I,12,"75,601,465",R,KCNC2,2.3E-06,1.3E-06,1.74,0.0811,0.1151,5.77E-05,3.4E-03,0
cg06195293,II,6,"30,104,885",F,TRIM40,4.4E-06,2.7E-06,1.66,0.0975,0.1347,5.78E-05,3.4E-03,0
cg08505243,II,6,"32,116,112",F,,7.7E-06,2.4E-06,3.18,0.0015,0.0040,5.78E-05,3.4E-03,1
cg02832697,II,4,"154,126,481",F,TRIM2,-1.7E-05,2.6E-06,-6.59,4.5E-11,1.0E-09,5.79E-05,3.4E-03,1
cg14073922,II,3,"150,805,167",F,MED12L,3.9E-06,1.1E-06,3.56,3.7E-04,0.0012,5.79E-05,3.4E-03,1
cg04313338,II,16,"55,735,794",F,SLC6A2,-7.5E-06,1.4E-06,-5.35,9.0E-08,9.2E-07,5.79E-05,3.4E-03,1
cg13493071,II,7,"2,842,687",R,GNA12,-1.7E-06,1.2E-06,-1.36,0.1752,0.2217,5.80E-05,3.4E-03,0
cg17581104,II,17,"74,131,752",F,,-5.2E-06,1.5E-06,-3.39,6.9E-04,0.0021,5.80E-05,3.4E-03,1
cg04433322,II,17,"42,346,894",F,SLC4A1,-1.2E-05,2.1E-06,-5.54,3.0E-08,3.5E-07,5.81E-05,3.4E-03,1
cg02749804,II,17,"38,324,645",F,CASC3,-9.7E-06,2.8E-06,-3.52,4.3E-04,0.0014,5.81E-05,3.4E-03,1
cg08358188,I,6,"32,802,958",R,TAP2,-3.8E-06,8.6E-07,-4.42,9.7E-06,5.5E-05,5.81E-05,3.4E-03,1
cg13636952,II,7,"142,447,956",F,,4.8E-06,3.8E-06,1.27,0.2051,0.2539,5.81E-05,3.4E-03,0
